,,JFM,JFM,JFM,FMA,FMA,FMA,MAM,MAM,MAM,AMJ,AMJ,AMJ,MJJ,MJJ,MJJ,JJA,JJA,JJA,JAS,JAS,JAS,ASO,ASO,ASO,SON,SON,SON,OND,OND,OND,NDJ,NDJ,NDJ,DJF,DJF,DJF
DWD-GCFS2.1,lead3,0.46875,0.48046875,0.5859375,0.56640625,0.33984375,0.3125,0.55078125,0.54296875,0.30859375,0.53125,0.49609375,0.48046875,0.6484375,0.515625,0.625,0.6171875,0.6953125,0.6640625,0.63671875,0.57421875,0.453125,0.69921875,0.359375,0.44921875,0.578125,0.3828125,0.421875,0.55078125,0.6953125,0.51171875,0.42578125,0.609375,0.671875,0.49609375,0.39453125,0.5234375
DWD-GCFS2.1,lead2,0.64453125,0.2109375,0.5546875,0.6953125,0.546875,0.54296875,0.58203125,0.6171875,0.5390625,0.4765625,0.48828125,0.44921875,0.62109375,0.5078125,0.55859375,0.5390625,0.62109375,0.671875,0.40234375,0.515625,0.3671875,0.328125,0.29296875,0.22265625,0.62890625,0.68359375,0.4375,0.55078125,0.4765625,0.5,0.66796875,0.48828125,0.765625,0.453125,0.453125,0.47265625
DWD-GCFS2.1,lead1,0.57421875,0.421875,0.6328125,0.5234375,0.73046875,0.6171875,0.55859375,0.58203125,0.3828125,0.5859375,0.375,0.48828125,0.37890625,0.71875,0.4765625,0.625,0.859375,0.7734375,0.515625,0.578125,0.546875,0.58984375,0.4375,0.51171875,0.49609375,0.44140625,0.52734375,0.58203125,0.45703125,0.77734375,0.55078125,0.296875,0.61328125,0.546875,0.44921875,0.68359375
CMCC-SPSv3.5,lead3,0.53515625,0.375,0.5078125,0.4453125,0.515625,0.3828125,0.48828125,0.734375,0.4296875,0.49609375,0.58984375,0.484375,0.515625,0.37109375,0.37890625,0.62109375,0.61328125,0.70703125,0.48828125,0.55078125,0.51171875,0.4375,0.734375,0.53125,0.4765625,0.44921875,0.640625,0.4375,0.5625,0.73046875,0.44921875,0.5078125,0.65234375,0.56640625,0.23046875,0.6953125
CMCC-SPSv3.5,lead2,0.55078125,0.375,0.2578125,0.34765625,0.50390625,0.41796875,0.625,0.53125,0.5546875,0.5234375,0.23828125,0.30078125,0.82421875,0.6328125,0.6875,0.703125,0.8359375,0.80078125,0.765625,0.765625,0.53515625,0.88671875,0.6640625,0.69140625,0.51953125,0.4921875,0.44140625,0.40234375,0.359375,0.54296875,0.53125,0.37890625,0.75,0.53515625,0.6015625,0.66796875
CMCC-SPSv3.5,lead1,0.56640625,0.67578125,0.42578125,0.60546875,0.5390625,0.3125,0.61328125,0.59375,0.5078125,0.58984375,0.40234375,0.44921875,0.5546875,0.5234375,0.49609375,0.56640625,0.38671875,0.73046875,0.6796875,0.44140625,0.61328125,0.49609375,0.69140625,0.625,0.31640625,0.58984375,0.4921875,0.609375,0.57421875,0.828125,0.50390625,0.28125,0.5390625,0.64453125,0.50390625,0.6796875
NCEP-CFSv2,lead3,0.61328125,0.72265625,0.59375,0.2890625,0.5703125,0.609375,0.51953125,0.3359375,0.32421875,0.6875,0.43359375,0.484375,0.390625,0.51953125,0.3828125,0.55078125,0.79296875,0.734375,0.46875,0.66796875,0.734375,0.7578125,0.31640625,0.37890625,0.52734375,0.4609375,0.484375,0.74609375,0.578125,0.875,0.58203125,0.5546875,0.66015625,0.42578125,0.4921875,0.56640625
NCEP-CFSv2,lead2,0.49609375,0.578125,0.4921875,0.3203125,0.35546875,0.4609375,0.31640625,0.25,0.55859375,0.50390625,0.578125,0.37890625,0.55078125,0.53125,0.49609375,0.609375,0.37890625,0.65234375,0.890625,0.55078125,0.51953125,0.5625,0.546875,0.40234375,0.79296875,0.55078125,0.50390625,0.671875,0.52734375,0.71875,0.43359375,0.1953125,0.62890625,0.54296875,0.44140625,0.6484375
NCEP-CFSv2,lead1,0.5546875,0.56640625,0.51953125,0.69140625,0.390625,0.6171875,0.4453125,0.3828125,0.5078125,0.578125,0.6171875,0.57421875,0.3671875,0.5078125,0.46875,0.578125,0.57421875,0.71875,0.421875,0.53515625,0.78125,0.56640625,0.3046875,0.59765625,0.7265625,0.43359375,0.578125,0.64453125,0.6171875,0.68359375,0.53515625,0.3125,0.6328125,0.4609375,0.53515625,0.62109375
JMA-CPS3,lead3,0.47265625,0.48046875,0.61328125,0.7890625,0.70703125,0.62109375,0.48828125,0.44140625,0.3515625,0.6484375,0.625,0.4296875,0.6484375,0.57421875,0.78125,0.5234375,0.3984375,0.59375,0.484375,0.31640625,0.4140625,0.4765625,0.26953125,0.5078125,0.52734375,0.59375,0.671875,0.34765625,0.73828125,0.7109375,0.4765625,0.390625,0.45703125,0.578125,0.5546875,0.55859375
JMA-CPS3,lead2,0.6953125,0.58203125,0.55078125,0.5703125,0.52734375,0.4609375,0.5234375,0.6171875,0.578125,0.57421875,0.48046875,0.5625,0.640625,0.63671875,0.91796875,0.71875,0.4453125,0.69140625,0.6796875,0.6796875,0.5625,0.4609375,0.2578125,0.5625,0.765625,0.48046875,0.515625,0.46875,0.4453125,0.66796875,0.625,0.375,0.8203125,0.57421875,0.4921875,0.609375
JMA-CPS3,lead1,0.33984375,0.359375,0.47265625,0.44921875,0.65234375,0.40234375,0.71484375,0.48828125,0.609375,0.64453125,0.68359375,0.375,0.4609375,0.5,0.52734375,0.58984375,0.43359375,0.671875,0.5625,0.484375,0.3828125,0.6484375,0.4765625,0.36328125,0.578125,0.4140625,0.51171875,0.734375,0.6171875,0.84375,0.4453125,0.546875,0.765625,0.7109375,0.30859375,0.578125
ECCC-GEM5-NEMO,lead3,0.6015625,0.4296875,0.59375,0.66796875,0.578125,0.61328125,0.375,0.34375,0.30859375,0.3671875,0.4140625,0.51953125,0.5,0.4296875,0.5078125,0.546875,0.65625,0.48828125,0.56640625,0.51953125,0.3359375,0.37890625,0.4609375,0.46484375,0.64453125,0.37109375,0.4609375,0.5078125,0.375,0.6796875,0.46484375,0.59375,0.609375,0.69921875,0.3203125,0.50390625
ECCC-GEM5-NEMO,lead2,0.67578125,0.52734375,0.58984375,0.5625,0.71484375,0.66015625,0.515625,0.48046875,0.44921875,0.58984375,0.4765625,0.375,0.3515625,0.66796875,0.38671875,0.55859375,0.6484375,0.61328125,0.5859375,0.4921875,0.6015625,0.63671875,0.61328125,0.59375,0.5234375,0.4296875,0.4609375,0.4140625,0.4921875,0.671875,0.62890625,0.4609375,0.5859375,0.51953125,0.48046875,0.69140625
ECCC-GEM5-NEMO,lead1,0.53515625,0.62890625,0.48046875,0.42578125,0.3125,0.38671875,0.40625,0.4296875,0.52734375,0.30078125,0.171875,0.2890625,0.4921875,0.44140625,0.59375,0.484375,0.5625,0.75,0.671875,0.4453125,0.34375,0.38671875,0.4765625,0.515625,0.62890625,0.53125,0.5234375,0.59375,0.55078125,0.4765625,0.6875,0.3671875,0.66796875,0.62890625,0.4765625,0.68359375
